Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since,Utilization_Category
ST-0297,Haryana,Ambala,15.7894,72.4,AC Level 2,4,73.9,381000,4600,22.3,30-11-2020,Normal
ST-0179,Haryana,Panipat,20.2032,70.0612,AC Level 2,4,86.1,408000,4900,24,21-06-2023,High
ST-0066,Tamil Nadu,Madurai,15.1719,81.1475,AC Level 1,4,88.1,155000,1900,3.1,10-11-2021,High
ST-0180,Rajasthan,Ajmer,22.6192,77.387,AC Level 2,4,81.4,380000,4600,20.5,01-11-2020,High
ST-0134,Haryana,Panipat,27.9742,73.7554,Ultra-Fast DC,4,28.6,2643000,31700,154.9,20-02-2022,Low
ST-0298,Andhra Pradesh,Tirupati,21.5206,85.9609,Ultra-Fast DC,4,54.9,2765000,33200,162.6,26-07-2022,Normal
ST-0185,Haryana,Faridabad,20.677,73.5698,Ultra-Fast DC,4,60.8,2149000,25800,154.4,23-10-2020,Normal
ST-0189,West Bengal,Howrah,16.2515,83.7608,Ultra-Fast DC,4,71.9,2727000,32700,161.4,25-07-2021,Normal
ST-0174,Haryana,Faridabad,26.4383,79.4718,DC Fast Charger,4,82.5,956000,11500,59.5,30-04-2022,High
ST-0162,Telangana,Karimnagar,17.3112,75.2615,Ultra-Fast DC,4,42.3,2645000,31700,150.5,06-09-2022,Low
ST-0128,Madhya Pradesh,Bhopal,23.2189,77.4234,Ultra-Fast DC,4,11.1,2600000,31200,147.9,28-10-2021,Low
ST-0129,West Bengal,Kolkata,22.6217,88.3701,Ultra-Fast DC,4,24.7,2256000,27100,143.6,01-11-2021,Low
ST-0164,Haryana,Ambala,16.8428,78.546,DC Fast Charger,4,79.8,972000,11700,57.1,23-04-2020,High
ST-0202,Tamil Nadu,Madurai,211.7875,71.2584,AC Level 2,4,88.9,367000,4400,22,04-11-2020,High
ST-0157,Uttar Pradesh,Allahabad,29.0085,80.2396,DC Fast Charger,4,80.6,918000,11000,64.8,27-11-2020,High
ST-0171,Maharashtra,Kolhapur,28.5879,79.9102,AC Level 2,4,82,429000,5100,20.9,21-09-2021,High
ST-0025,Gujarat,Ahmedabad,22.9925,72.5711,Ultra-Fast DC,4,50.2,2133000,25600,153.1,19-01-2021,Normal
ST-0115,Uttar Pradesh,Lucknow,26.8226,80.916,DC Fast Charger,4,78.8,885000,10600,57.8,19-10-2021,High
ST-0021,Delhi,Noida,23.0606,81.054,Ultra-Fast DC,4,42.1,2539000,30500,153.5,22-08-2021,Low
ST-0227,Punjab,Amritsar,23.1582,83.9294,DC Fast Charger,4,19.3,924000,11100,60.6,30-12-2022,Low
ST-0015,Telangana,Hyderabad,17.3791,78.5217,Ultra-Fast DC,4,65.2,2372000,28500,136.8,09-12-2022,Normal
ST-0247,West Bengal,Durgapur,17.1986,77.269,AC Level 1,4,70.8,150000,1800,3,10-07-2023,Normal
ST-0121,Andhra Pradesh,Kurnool,16.1585,84.7508,Ultra-Fast DC,4,68.8,2520000,30200,142.4,18-07-2020,Normal
ST-0007,Uttar Pradesh,Kanpur,29.9077,83.6147,DC Fast Charger,4,63.9,902000,10800,57,26-03-2022,Normal
ST-0013,Madhya Pradesh,Gwalior,25.6093,79.6608,Ultra-Fast DC,4,89.7,2523000,30300,143.4,27-04-2022,High
ST-0184,Gujarat,Bhavnagar,25.1083,75.1808,AC Level 1,4,75.2,136000,1600,3.5,24-04-2022,High
ST-0003,Gujarat,Rajkot,23.7136,75.2348,DC Fast Charger,4,89.1,885000,10600,60.3,05-07-2021,High
ST-0080,Gujarat,Surat,21.1731,72.821,Ultra-Fast DC,4,55.9,2842000,34100,160.3,29-12-2023,Normal
ST-0068,Andhra Pradesh,Visakhapatnam,17.7328,83.1758,AC Level 1,4,22.7,168000,2000,3.4,15-02-2021,Low
ST-0222,Punjab,Ludhiana,17.2968,74.84,Ultra-Fast DC,4,76.4,2515000,30200,144.5,02-01-2021,High
ST-0259,Karnataka,Shivamogga,25.1055,75.344,DC Fast Charger,4,33.6,1012000,12100,57,11-06-2022,Low
ST-0046,Maharashtra,Pune,18.5047,73.8806,AC Level 2,4,58.1,393000,4700,20.5,24-12-2022,Normal
ST-0175,Tamil Nadu,Vellore,20.5868,72.5914,AC Level 2,4,49.3,344000,4100,19.9,18-07-2023,Low
ST-0300,Haryana,Faridabad,26.2496,83.1929,AC Level 2,4,49.2,415000,5000,21.6,02-05-2022,Low
ST-0191,Maharashtra,Solapur,29.6706,70.5989,Ultra-Fast DC,4,42.8,2659000,31900,152.9,08-09-2022,Low
ST-0292,Kerala,Kollam,25.5993,82.9217,AC Level 1,4,93.6,168000,2000,3.3,11-09-2021,Critical
ST-0231,Haryana,Ambala,28.3067,79.5193,DC Fast Charger,4,53.7,857000,10300,59.1,30-08-2020,Normal
ST-0280,Haryana,Gurugram,27.3247,81.148,AC Level 1,4,17.7,142000,1700,3,17-07-2022,Low
ST-0109,Tamil Nadu,Madurai,27.5864,75.4171,Ultra-Fast DC,4,82.7,2263000,27200,143,18-01-2021,High
ST-0136,Tamil Nadu,Madurai,29.9398,80.6838,AC Level 2,4,47.4,367000,4400,21.3,23-09-2022,Low
ST-0295,Rajasthan,Jaipur,26.9329,75.7956,DC Fast Charger,4,81.4,942000,11300,65.9,09-06-2023,High
ST-0093,Punjab,Chandigarh,30.7344,76.7473,Ultra-Fast DC,4,67.9,2181000,26200,145.1,02-05-2021,Normal
ST-0187,Gujarat,Vadodara,22.2887,73.171,AC Level 1,4,83,145000,1700,3.3,28-07-2022,High
ST-0028,Delhi,Noida,30.004,77.4489,AC Level 1,4,32.3,163000,2000,3.6,29-06-2021,Low
ST-0255,Maharashtra,Nagpur,21.1655,79.0465,AC Level 1,4,39.4,167000,2000,3.1,07-12-2021,Low
ST-0144,Tamil Nadu,Tiruchirappalli,15.78,85.8905,AC Level 1,4,47.4,133000,1600,3.5,01-11-2022,Low
ST-0245,Karnataka,Hubli,29.6497,75.4469,Ultra-Fast DC,4,84.9,2844000,34100,163.7,24-07-2021,High
ST-0150,Madhya Pradesh,Jabalpur,22.0877,72.3232,Ultra-Fast DC,4,75.3,2462000,29500,138.4,21-10-2023,High
ST-0017,Uttar Pradesh,Allahabad,16.8661,78.4204,AC Level 2,4,74.2,388000,4700,24.1,02-09-2022,Normal
ST-0151,Rajasthan,Ajmer,25.2432,70.6957,DC Fast Charger,4,96.4,960000,11500,54.1,07-07-2021,Critical
ST-0088,Telangana,Karimnagar,21.7579,72.8957,AC Level 2,4,87.3,410000,4900,23.2,17-11-2023,High
ST-0269,Madhya Pradesh,Bhopal,23.21,77.4033,AC Level 1,4,63.1,166000,2000,3.2,12-08-2023,Normal
ST-0246,Punjab,Patiala,23.9479,82.1092,Ultra-Fast DC,4,95.1,2499000,30000,142.2,19-09-2022,Critical
ST-0062,Madhya Pradesh,Ujjain,17.9013,79.8586,AC Level 2,4,86,378000,4500,23.1,24-10-2021,High
ST-0211,Uttar Pradesh,Agra,17.3771,85.5167,DC Fast Charger,4,65.3,1004000,12000,55,03-03-2023,Normal
ST-0057,Haryana,Ambala,21.2815,83.8925,AC Level 2,4,59.1,394000,4700,23.3,16-09-2021,Normal
ST-0041,Madhya Pradesh,Jabalpur,26.5086,72.4274,DC Fast Charger,4,75.3,900000,10800,63.7,16-07-2020,High
ST-0077,Punjab,Amritsar,24.8252,79.0641,AC Level 2,4,25.8,397000,4800,22.8,12-01-2021,Low
ST-0266,Uttar Pradesh,Kanpur,18.6456,81.9378,DC Fast Charger,4,90.2,1013000,12200,57.2,22-07-2023,Critical
ST-0033,Maharashtra,Nagpur,21.1536,79.0388,Ultra-Fast DC,4,56.2,2516000,30200,157.6,10-11-2023,Normal
ST-0234,West Bengal,Siliguri,15.9218,71.9316,DC Fast Charger,4,83,773000,9300,56.4,16-07-2020,High
ST-0053,Haryana,Panipat,28.7963,78.1393,AC Level 2,4,56.1,391000,4700,21.8,15-11-2020,Normal
ST-0034,Kerala,Thiruvananthapuram,20.545,71.414,AC Level 2,4,86.4,455000,5500,22.9,04-07-2023,High
ST-0052,Maharashtra,Nagpur,21.1039,79.0818,DC Fast Charger,4,69.8,877000,10500,63.9,13-11-2023,Normal
ST-0048,Punjab,Patiala,20.4059,77.3205,Ultra-Fast DC,4,64.2,2300000,27600,158.7,30-10-2022,Normal
ST-0214,West Bengal,Howrah,26.7222,82.2525,AC Level 2,4,44.7,361000,4300,19.8,18-10-2023,Low
ST-0299,Uttar Pradesh,Lucknow,26.7999,80.966,AC Level 1,4,44.4,149000,1800,3.3,04-01-2021,Low
ST-0023,Tamil Nadu,Vellore,26.0606,76.1926,Ultra-Fast DC,4,66.3,2167000,26000,156.4,04-07-2023,Normal
ST-0073,Delhi,Dwarka,29.9162,85.6126,DC Fast Charger,4,79.9,939000,11300,59,01-03-2020,High
ST-0169,Rajasthan,Jaipur,26.8621,75.818,Ultra-Fast DC,4,77.3,2231000,26800,155,20-10-2023,High
ST-0100,Gujarat,Gandhinagar,15.8899,79.1081,AC Level 1,5,81,148000,1800,3.4,24-05-2022,High
ST-0031,Madhya Pradesh,Indore,22.7349,75.8938,DC Fast Charger,2,91.4,833000,10000,65.6,02-06-2021,Critical
ST-0235,Punjab,Ludhiana,28.7852,73.2783,AC Level 2,9,93.5,361000,4300,22.5,04-07-2020,Critical
ST-0036,Punjab,Chandigarh,30.776,76.7561,AC Level 2,9,79.4,425000,5100,21.6,02-10-2020,High
ST-0198,Andhra Pradesh,Vijayawada,17.0949,75.3308,AC Level 1,5,81.8,137000,1600,3.5,06-04-2021,High
ST-0260,Gujarat,Rajkot,24.574,85.5814,AC Level 1,6,97.5,171000,2000,3.3,07-04-2020,Critical
ST-0143,Rajasthan,Udaipur,19.3742,70.5231,DC Fast Charger,2,86.3,919000,11000,55.5,30-03-2023,High
ST-0287,Telangana,Nizamabad,27.369,77.9174,AC Level 2,5,93.7,355000,4300,23.6,09-10-2022,Critical
ST-0275,West Bengal,Asansol,22.0993,73.9452,DC Fast Charger,5,88.7,839000,10100,56.6,23-09-2021,High
ST-0054,Tamil Nadu,Madurai,20.5496,79.299,AC Level 2,10,84.7,367000,4400,20.8,14-03-2023,High
ST-0075,Gujarat,Gandhinagar,23.03,85.4834,DC Fast Charger,3,88.2,876000,10500,58.8,29-08-2023,High
ST-0176,Kerala,Thrissur,26.6698,70.222,Ultra-Fast DC,2,90.3,2561000,30700,163.1,01-07-2020,Critical
ST-0127,Rajasthan,Jodhpur,23.03,79.4428,Ultra-Fast DC,2,87.8,2762000,33100,155.2,20-12-2020,High
ST-0165,Madhya Pradesh,Bhopal,23.3026,77.4308,DC Fast Charger,5,88.4,925000,11100,66,19-08-2023,High
ST-0270,Haryana,Gurugram,29.4723,77.7653,AC Level 1,2,79.8,151000,1800,3.2,17-05-2023,High
ST-0289,Telangana,Warangal,15.3943,85.6079,AC Level 2,7,77.8,435000,5200,21.6,08-04-2023,High
ST-0095,West Bengal,Durgapur,24.3154,78.8835,AC Level 2,5,94.7,451000,5400,20.8,30-08-2023,Critical
ST-0238,Punjab,Patiala,15.0581,81.6342,AC Level 2,10,75,436000,5200,23.3,30-11-2023,High
ST-0011,Karnataka,Mangaluru,24.1906,77.3865,AC Level 2,9,76.1,410000,4900,23.9,16-07-2023,High
ST-0105,West Bengal,Siliguri,19.8467,70.1231,DC Fast Charger,6,77.8,1004000,12100,56.5,25-12-2020,High
ST-0085,Gujarat,Gandhinagar,23.0422,85.7121,AC Level 1,6,80.5,128000,1500,3.3,23-01-2021,High
ST-0283,Madhya Pradesh,Jabalpur,26.906,75.103,Ultra-Fast DC,3,78.2,2342000,28100,144.4,31-07-2021,High
ST-0132,Punjab,Chandigarh,30.751,76.8261,DC Fast Charger,2,85.7,824000,9900,57,18-09-2020,High
ST-0173,Punjab,Amritsar,21.4091,82.9968,Ultra-Fast DC,2,79.2,2660000,31900,150.1,20-10-2021,High
ST-0072,West Bengal,Durgapur,20.0027,76.334,AC Level 2,6,85.7,386000,4600,20,04-07-2023,High
ST-0086,Delhi,Noida,20.9447,74.8307,DC Fast Charger,5,86,999000,12000,65.5,09-06-2023,High
ST-0156,Haryana,Yamunanagar,16.9231,80.4972,AC Level 2,9,86.2,388000,4700,23.6,26-08-2021,High
ST-0119,Uttar Pradesh,Lucknow,26.8129,77.82,AC Level 1,2,92.5,172000,2100,3.2,23-05-2022,Critical
ST-0114,Andhra Pradesh,Visakhapatnam,17.6635,83.2584,AC Level 1,2,94.4,169000,2000,3.4,13-11-2021,Critical
ST-0153,Rajasthan,Bikaner,25.3576,72.8962,AC Level 1,2,85.7,133000,1600,3.1,22-04-2022,High
ST-0276,Maharashtra,Mumbai,19.0673,72.8498,AC Level 1,3,75.4,136000,1600,3.1,25-09-2021,High
ST-0278,Delhi,New Delhi,28.5817,77.1842,DC Fast Charger,3,82.9,956000,11500,57.9,17-07-2023,High
ST-0116,Gujarat,Surat,21.1842,72.7833,Ultra-Fast DC,2,76.7,2848000,34200,157.8,14-07-2021,High
