Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since
ST-0100,Gujarat,Gandhinagar,15.8899,79.1081,AC Level 1,5.0,81.0,148000,1800,3.4,2022-05-24
ST-0297,Haryana,Ambala,15.7894,72.4,AC Level 2,4.0,73.9,381000,4600,22.3,2020-11-30
ST-0090,Andhra Pradesh,Tirupati,25.9409,85.6058,AC Level 2,8.0,47.6,398000,4800,23.3,2020-12-15
ST-0031,Madhya Pradesh,Indore,22.7349,75.8938,DC Fast Charger,2.0,91.4,833000,10000,65.6,2021-06-02
ST-0235,Punjab,Ludhiana,28.7852,73.2783,AC Level 2,9.0,93.5,361000,4300,22.5,2020-07-04
ST-0293,Telangana,Karimnagar,16.9812,84.302,AC Level 1,6.0,34.1,133000,1600,3.5,2022-10-28
ST-0036,Punjab,Chandigarh,30.776,76.7561,AC Level 2,9.0,79.4,425000,5100,21.6,2020-10-02
ST-0008,Karnataka,Shivamogga,17.4652,73.4799,DC Fast Charger,2.0,52.4,939000,11300,61.2,2021-11-16
ST-0179,Haryana,Panipat,20.2032,70.0612,AC Level 2,4.0,86.1,408000,4900,24.0,2023-06-21
ST-0014,Tamil Nadu,Coimbatore,10.9758,76.9484,AC Level 2,9.0,55.1,408000,4900,22.0,2020-12-07
ST-0241,Punjab,Chandigarh,30.6973,76.7523,AC Level 1,2.0,12.7,164000,2000,3.5,2022-02-27
ST-0066,Tamil Nadu,Madurai,15.1719,81.1475,AC Level 1,4.0,88.1,155000,1900,3.1,2021-11-10
ST-0180,Rajasthan,Ajmer,22.6192,77.387,AC Level 2,4.0,81.4,380000,4600,20.5,2020-11-01
ST-0193,Gujarat,Bhavnagar,30.0244,70.2213,DC Fast Charger,5.0,51.3,938000,11300,65.2,2022-07-20
ST-0148,Punjab,Jalandhar,18.5597,77.0323,AC Level 2,8.0,63.0,382000,4600,23.2,2023-08-08
ST-0135,Telangana,Khammam,18.1469,72.7706,AC Level 2,8.0,64.7,420000,5000,20.7,2022-05-04
ST-0233,Telangana,Hyderabad,17.3368,78.4435,Ultra-Fast DC,1.0,62.5,2456000,29500,154.3,2023-09-13
ST-0158,Punjab,Ludhiana,19.1582,71.0085,Ultra-Fast DC,3.0,54.5,2688000,32300,136.7,2020-12-30
ST-0277,Madhya Pradesh,Gwalior,28.5854,80.9573,AC Level 2,7.0,22.9,359000,4300,22.3,2021-06-07
ST-0236,Tamil Nadu,Vellore,29.1075,85.2174,DC Fast Charger,6.0,59.2,872000,10500,62.4,2022-10-31
